序号,URL,视频标题,静态开始时间1,静态结束时间1,静态开始时间2,静态结束时间2
582,【4K 8小时 雪林中的真实篝火 ❄️ 100% 真实声音 🎁 新年快乐】 https://www.bilibili.com/video/BV1zWCbYwEZQ/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K 8小时 雪林中的真实篝火 ❄️ 100% 真实声音 🎁 新年快乐,0018,0038,,
583,【4K🎄圣诞原木壁炉🔥｜冬季森林篝火和飘落的雪花氛围】 https://www.bilibili.com/video/BV1MHk9Y2Ee4/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K🎄圣诞原木壁炉🔥｜冬季森林篝火和飘落的雪花氛围,1730,1750,,
584,【【壁炉・白噪音】放松身心的 ASMR 壁炉声，带来极致的舒适与宁静】 https://www.bilibili.com/video/BV1sw411T7dU/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,【壁炉・白噪音】放松身心的 ASMR 壁炉声，带来极致的舒适与宁静,0335,0355,,
585,【【Dark Academia】你在维多利亚时代的图书馆里专注自习 | 一个轻松有氛围的播放列表】 https://www.bilibili.com/video/BV1vC4y1Q7K9/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,【Dark Academia】你在维多利亚时代的图书馆里专注自习 | 一个轻松有氛围的播放列表,0319,0339,,
586,【4K 自然環境音　竹林の中を流れる水の音　鳥の声】 https://www.bilibili.com/video/BV1ia4y1M7dX/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K 自然環境音　竹林の中を流れる水の音　鳥の声,0000,0020,,
587,【4K【自然環境音】森の中で聴こえてくる音 鳥たちのさえずり、雨の音、流れる水の音】 https://www.bilibili.com/video/BV1Yj411g7ks/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K【自然環境音】森の中で聴こえてくる音 鳥たちのさえずり、雨の音、流れる水の音,0640,0700,,
588,【4K ｜ 雪景色｜白川郷　円原川　男滝女滝　阿寺渓谷】 https://www.bilibili.com/video/BV1524y1r71o/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K ｜ 雪景色｜白川郷　円原川　男滝女滝　阿寺渓谷,0238,0258,,
589,【4K 定光寺に降る静かな雨　誰もいない境内に雨の音だけが聴こえる】 https://www.bilibili.com/video/BV1R24y137Eo/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K 定光寺に降る静かな雨　誰もいない境内に雨の音だけが聴こえる,0000,0020,,
590,【4K 冬の安曇野も、これまた美しい 自然風景　せせらぎ】 https://www.bilibili.com/video/BV1Rs4y1s7hF/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K 冬の安曇野も、これまた美しい 自然風景　せせらぎ,0010,0030,,
591,【4K 森の中にある小屋に降る雨　時折聞こえる鳥の声】 https://www.bilibili.com/video/BV1wL411X7iD/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K 森の中にある小屋に降る雨　時折聞こえる鳥の声,0620,0640,,
592,【4K 森の中にある小屋に降る雨 ｜ 雨落在森林中的小屋/偶尔听到鸟的声音】 https://www.bilibili.com/video/BV1FT41187Sv/?share_source=copy_web&vd_source=191be639f15d17c4c6a3026a71f36753,4K 森の中にある小屋に降る雨 ｜ 雨落在森林中的小屋/偶尔听到鸟的声音,2643,2703,,
593,https://www.bilibili.com/video/BV1pY4y1973X/?spm_id_from=333.337.search-card.all.click&vd_source=91a1ddb313a68150c75ac3eff5c68af4,【放松解压】漫步旅行在瑞士小镇的街头丨4K丨瑞士丨欧洲丨旅行丨街头丨自然风光丨解压丨舒适丨放松丨安静丨,0625,0645,0730,0750
594,https://www.bilibili.com/video/BV1mcgLzPE9c/?spm_id_from=333.337.search-card.all.click&vd_source=91a1ddb313a68150c75ac3eff5c68af4,【4K北欧】阴天漫步挪威埃兹达尔，雨后北欧宁静的小镇,0115,0135,0315,0335
595,https://www.bilibili.com/video/BV1gr4y1L7Ho/?spm_id_from=333.337.search-card.all.click&vd_source=91a1ddb313a68150c75ac3eff5c68af4,【纯享】风景视频素材分享（无水印可自取）,0001,0021,,
596,https://www.bilibili.com/video/BV1bp4y1r7SG/?spm_id_from=333.337.search-card.all.click&vd_source=91a1ddb313a68150c75ac3eff5c68af4,航拍高清海湾 每一帧都是壁纸 4K 60FPS,0015,0036,,
597,https://www.bilibili.com/video/BV1gHxizNE5D/?spm_id_from=333.337.search-card.all.click&vd_source=91a1ddb313a68150c75ac3eff5c68af4,【4K高清】英国——曾经的日不落帝国,0326,0347,,
598,https://www.bilibili.com/video/BV1gv4y1j7SX?vd_source=a025751c1f3ef88824c70496721bfa71,4K一镜到底拍摄九十多平米现代时尚简约装修,0006,0050,,
599,https://www.bilibili.com/video/BV1Ee411L7zU?vd_source=a025751c1f3ef88824c70496721bfa71,【[广职院]4K全景&一镜到底参观图文信息大楼】,0005,0100,,
600,https://www.bilibili.com/video/BV11u6KYaENk?vd_source=a025751c1f3ef88824c70496721bfa71,【103平自装西户原木风 | 超详细一镜到底！】,0004,0100,,
601,https://www.bilibili.com/video/BV1BdHKzREXN?vd_source=a025751c1f3ef88824c70496721bfa71,【秋天森林漫步-超清 4K】,0000,0024,,
602,https://www.bilibili.com/video/BV1sP411V7Em?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】这就是日本 [5小时Plus Pro Max加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0032,0052,,
603,https://www.bilibili.com/video/BV1sY4y1K7sY?vd_source=a025751c1f3ef88824c70496721bfa71,【【4K风景】这就是日本3 [3小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0130,0158,,
604,https://www.bilibili.com/video/BV1Ce411u7Ej?vd_source=a025751c1f3ef88824c70496721bfa71,【【4K风景】这就是日本4 [3小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0400,0420,,
605,https://www.bilibili.com/video/BV1ze4y1Y7cw?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】郑和岛 [巴拉望][5小时Plus Pro Max加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0000,0030,,
606,https://www.bilibili.com/video/BV1aG41137du?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】童话瑞士 [4小时Plus Pro Max加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0027,0052,,
607,https://www.bilibili.com/video/BV1dD4y1B7j4?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】古堡德国 [3小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0100,0120,,
608,https://www.bilibili.com/video/BV1uh4y147ui?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】挪威 [3小时加长版]】,0000,0025,,
609,https://www.bilibili.com/video/BV17d4y1w7jS?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】马尔代夫 [3小时Plus Pro加长版] 解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0030,0055,,
610,https://www.bilibili.com/video/BV1t14y1p7pz?vd_source=a025751c1f3ef88824c70496721bfa71,【【8K风景】夏威夷 [3小时Plus Pro加长版]解压-治愈-工作学习背景音-清晨叫醒-夜晚助眠】,0154,0218,,
611,【极致色彩视觉盛宴 | 4K HDR 电影级影像】 https://www.bilibili.com/video/BV1u2Hcz4ECj/?share_source=copy_web&vd_source=7e06c13b41bb2ab6c8537fdd40ef1d97,极致色彩视觉盛宴 | 4K HDR 电影级影像,4050,4115,,
612,【环球旅行之北京】 https://www.bilibili.com/video/BV1gaxkzQEyc/?share_source=copy_web&vd_source=7e06c13b41bb2ab6c8537fdd40ef1d97,环球旅行之北京,0323,0400,,
613,【秋已至，静赏秋的色彩，慢品时光。】 https://www.bilibili.com/video/BV1zN411i72B/?share_source=copy_web&vd_source=7e06c13b41bb2ab6c8537fdd40ef1d97,秋已至，静赏秋的色彩，慢品时光。,4503,4526,,
614,【【Borneo Jungle婆罗洲丛林 4K】感受亚洲第一大岛的魅力】 https://www.bilibili.com/video/BV1sF411C755/?share_source=copy_web&vd_source=7e06c13b41bb2ab6c8537fdd40ef1d97,【Borneo Jungle婆罗洲丛林 4K】感受亚洲第一大岛的魅力,0904,0925,,
615,【【Norway挪威 4K】万岛之国】 https://www.bilibili.com/video/BV1Zz42167zN/?share_source=copy_web&vd_source=7e06c13b41bb2ab6c8537fdd40ef1d97,【Norway挪威 4K】万岛之国,2546,2602,,
616,https://b23.tv/c7pz9gs,【地球最震撼奇观 | 4K HDR 电影级影像-哔哩哔哩,0639,0659,,
617,https://b23.tv/JFqoiXj,【航拍欧洲4K：从挪威峡湾到罗马遗迹的44国全景诗篇-哔哩哔哩】,0108,0118,,
618,https://b23.tv/hJmMteh,【⚜4K超清⚜『森林』自然风光和浪漫音乐，优美轻松的音乐 • 放松电影《我们的星球》-哔哩哔哩】,0027,0047,0051,0111
619,https://b23.tv/9yBlxP8,【秋天森林漫步-超清 4K-哔哩哔哩】,0000,0020,0339,0359
620,https://b23.tv/1KsuUUG,【瑞士超清风景航拍视频 4K-哔哩哔哩】,0000,0020,0108,0128
621,https://b23.tv/Ip0GiZJ,【无人机鸟瞰英国-超清 4K-哔哩哔哩】,0000,0020,0027,0047
622,https://b23.tv/wlNcEEB,【🌿静谧秘境·绝美风光｜4K HDR 超清享受-哔哩哔哩】,0027,0047,0048,0148
623,https://b23.tv/L0YqTYU,【绿地景观 🍀 4K ᵁᴴᴰ 自然放松片 🍀 冥想放松音乐-哔哩哔哩】,0228,0248,0733,0753
624,https://b23.tv/KsAu8fJ,【【杜比视界】OLED 4K HDR | 60FPS沉浸式自然大片 震撼！OLED 真实色彩 | 杜比视界 4K HDR 演示 4K HDR 杜比视界大片 |-哔哩哔哩】,0243,0303,0518,0538
625,https://b23.tv/WGzNRVf,【瑞士仙境！8K ULTRA HD 天堂般的美景✨-哔哩哔哩】,0223,0243,0300,0320
626,https://b23.tv/els9wKZ,【地球最梦幻的风景 ｜杜比视界 4K HDR (60FPS) ✨🌍-哔哩哔哩】,0632,0652,0653,0713
627,https://b23.tv/gEBJ19J,【🌍 震撼心灵！地球最惊艳的自然美景4K杜比视界60FPS-哔哩哔哩】,,0115,0135,0412
628,https://b23.tv/AcPtcSc,【[Abao Vision]日本长野・森林溪畔列车 🚞 / 8K 60fps HDR / 放松钢琴音乐&纯环境音版-哔哩哔哩】,0050,0528,0529,0910
629,https://b23.tv/lomEt7P,【【4K高清】加拿大——从海岸到森林的大自然之美-哔哩哔哩】,0026,0055,0058,0136
630,https://b23.tv/pkdwciE,【【4K高清】美国——领略山川到城市之美-哔哩哔哩】,0040,0100,0101,0122
631,https://b23.tv/StlPlHn,【【4K高清】瑞士——四季都美丽的欧洲小花园-哔哩哔哩】,0025,0046,0048,0114
632,https://b23.tv/z3Wlerq,【【4K高清】迪拜——沙漠中建设的奇迹-哔哩哔哩】,0055,0117,0155,0216
633,https://b23.tv/hfLCiQs,【【4K高清】美洲大陆——承载落基山脉壮阔的西半球土地-哔哩哔哩】,3830,3910,4000,4028
634,https://b23.tv/IOPjGcE,【【4K高清】秋天之美——“为何挽回要赶在冬天来之前”《枫》-哔哩哔哩】,0144,0204,1142,1211
635,https://b23.tv/6HjFD0n,【【4K高清】英国——曾经的日不落帝国-哔哩哔哩】,1625,1653,1655,1737
636,https://b23.tv/1ugwDR3,【【4K高清】亚马逊热带雨林——地球之肺-哔哩哔哩】,1300,1320,1321,1342
637,https://b23.tv/88pPUu0,【【4K高清】德国——用规则秩序承载童话浪漫的国度-哔哩哔哩】,0711,0732,0733,0754
638,https://b23.tv/yHFKU9i,【【4K高清】法国——浪漫、古典、优雅的欧洲文化灯塔-哔哩哔哩】,0029,0151,0437,0511
639,https://b23.tv/5z0lnUz,【【4K高清】日本——亚洲岛国-哔哩哔哩】,1155,1217,1636,1658
640,https://www.bilibili.com/video/BV1o34y1d7V3?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K】废弃铁路——被人遗忘的角落】,0020,0054,0054,0122
641,https://www.bilibili.com/video/BV1KT4y1y7Wt?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K】市区隐蔽的角落——废弃铁路】,0124,0208,,
642,https://www.bilibili.com/video/BV1Yh4y1S7sN?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K】这里有你梦里的房子吗？夜里的别墅社区！灯火温馨，环境宁静！】,0000,2100,2700,2800
643,https://www.bilibili.com/video/BV1bjYFz7EEJ?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【4K 犹他州现代农舍别墅一镜到底 WALKTHROUGH OF A UTAH MODERN FARMHOUSE】,0000,0540,,
644,https://www.bilibili.com/video/BV1ZM4y1c7NE?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K】 房屋参观 | 韩国富人社区独立式住宅 | 新建筑】,0120,0145,0150,0500
645,https://www.bilibili.com/video/BV1o5eGzcEiX?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K60帧】放松解压：第一视角驾车欣赏瑞士优美风景 250820 | 作者：Tourist Car】,0030,0111,0200,0220
646,https://www.bilibili.com/video/BV12e4y1M7oP?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K UHD】探索大都会艺术博物馆（第二集）世界著名博物馆（欧洲雕塑展厅，武器盔甲展厅）】,0350,0555,0740,0920
647,https://www.bilibili.com/video/BV1DY411R7nZ?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K UHD】探索都灵埃及博物馆（0层）世界上第一家专门收藏埃及文物的博物馆】,0523,0606,0616,0657
648,https://www.bilibili.com/video/BV1z14y1K7ec?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K UHD】探索埃及 帝王谷 亡者之城 3000年前的壁画色彩依然鲜亮 讲述了法老的丰功伟绩和对天堂生活的想象】,0756,0937,0940,1000
649,https://www.bilibili.com/video/BV19b411f7CF?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K】凯拉米克斯考古遗址 希腊雅典的正大门 神圣之路开始的地方 曾作为希腊杰出人物的国葬墓和城市的陶工区】,0505,0528,,
650,https://www.bilibili.com/video/BV1yG4y117Qu?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K UHD】西尔西拉采石场 古埃及人是如何从采石场运出石头并将大石块运到建筑工地的 也许这里的遗迹隐藏着答案】,0008,0153,0214,0311
651,https://www.bilibili.com/video/BV15x4y137H6?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K UHD】供奉死神奥西里斯的神庙 塞提一世神庙 埃及最美的浮雕壁画 这里集中了古埃及最大的能量帮助法老们得到永生】,0000,0030,0037,0057
652,xhttps://www.bilibili.com/video/BV1MV4y1F7wi?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K UHD】探索埃及 阿皮斯公牛墓 埃及最大的石棺 最大的可达到70吨】https://www.bilibili.com/video/BV1MV4y1F7wi?vd_source=f4b12cf19e5333ba20619a3620b3b85a,0040,0424,0429,0547
653,https://www.bilibili.com/video/BV1po4y1z7Q2?vd_source=f4b12cf19e5333ba20619a3620b3b85a,【【4K】阿菲亚神殿 爱琴海中心的明珠 神圣三角之一 新古典主义和浪漫主义艺术家的最爱】,0050,0140,0200,0320
654,https://www.bilibili.com/video/BV1fp4y187EB/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K高清风景欣赏】约塞米蒂国家公园美景，敬请欣赏,,,0315,0343
655,https://www.bilibili.com/video/BV1Yh4y1S7sN/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K】这里有你梦里的房子吗？夜里的别墅社区！灯火温馨，环境宁静！,0047,0515,2053,2247
656,https://www.bilibili.com/video/BV12T411W7cR/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】景区篇🏞️风景如画 15个景区3小时39分,4153,4300,4844,4906
657,https://www.bilibili.com/video/BV1fs4y1X7tZ/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】张家界⛰️天工鬼斧的阿凡达取景地,0038,0103,0302,0326
658,https://www.bilibili.com/video/BV1Gs4y197sj/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】华山⛰️只有天在上 更无山与齐,1910,2004,,
659,https://www.bilibili.com/video/BV14L411h7Uu/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】神农架🏞️千山万壑 野人传说,0511,0618,,
660,https://www.bilibili.com/video/BV1Bs4y1Q7ji/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】四姑娘山⛰️一日游四季 十里不同天,0012,0058,0225,0320
661,https://www.bilibili.com/video/BV18c411K7B3/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】七彩丹霞⛰️奇险灵秀美如画,0050,0118,0302,0325
662,https://www.bilibili.com/video/BV1yV4y1r7Bg/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】泸沽湖🏞️青山绿水 碧波荡漾,0358,0439,,
663,https://www.bilibili.com/video/BV1ga4y1u7Cr/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】大兴安岭🏞️山峦叠翠 万倾林海,0405,0501,,
664,https://www.bilibili.com/video/BV1Cm4y1m7tk/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】青海🏞️地老天荒 山青海碧,0834,0858,,
665,https://www.bilibili.com/video/BV1Th411u7VE/?share_source=copy_web&vd_source=73c46c6d06922d5df6afe8b81ca711d1,【4K中国🇨🇳】苏州🏙️上有天堂 下有苏杭,0323,0255,0921,0942
666,https://b23.tv/CUgtjVJ,【【roomtour】人生一宅的舒适之道：简装修，多收纳。109平10万元简单原木风硬装+六年旧家具。-哔哩哔哩】,0138,0200,0223,0243
667,https://b23.tv/BOVdaUF,【【4K高清森林风景】森林风景，敬请欣赏-哔哩哔哩】,0010,0030,0100,0127
668,https://b23.tv/Pqrn0XK,【参观复古精致的住宅装饰-哔哩哔哩】,0027,0135,0145,0615
669,https://b23.tv/DuKiaqt,【一镜到底，来看我根据梦想改造的童话城堡-哔哩哔哩】,0005,0103,0110,0320
670,https://b23.tv/UGjrmj5,【4K【航拍】绝美地球自然人文风景混剪 惬意放松长片-哔哩哔哩】,0021,0056,0135,0210
671,https://b23.tv/UQfNoUR,【4K世界 无人机飞越俄勒冈州自然森林，山脉，太平洋海岸_超清 4K-哔哩哔哩】,0001,0109,0110,0145
672,https://b23.tv/ZSrVAUw,【⚜4K超清⚜ 8小时〃乌拉尔和西伯利亚风景秀丽的秋天〃带有优美音乐的自然电影-哔哩哔哩】,0037,0057,0110,0145
673,https://b23.tv/HLlpVJl,【EP20【4K高清顶级画质|壁纸素材|无水印|大自然|绝美风景|放松心情|治愈您的灵魂】互关互助，诚信互粉-哔哩哔哩】,0310,0340,0342,0410
674,https://b23.tv/PBR2wSj,【东北小城雪后的样子，最冷可达零下40多度，人少安静，开始猫冬了-哔哩哔哩】,0018,0106,0434,0500
675,https://b23.tv/uVGnzx2,【整个村子就我一家了，干点啥都没人管没人问的，可安静了！-哔哩哔哩】,0035,0132,0151,0207
676,https://b23.tv/o572wJu,【【4K】俄罗斯 - 绝美风景休闲放松影片-哔哩哔哩】,0019,0040,,
677,https://b23.tv/CjRXMgB,【【4K】冰岛 - 绝美风景休闲放松影片-哔哩哔哩】,2506,2527,2637,2703
678,https://b23.tv/7yBW8PV,【【4K】飞越毛里求斯——极致美景休闲放松-哔哩哔哩】,0007,0027,3759,3819
679,https://b23.tv/2SBzWmA,【来一起沉浸式逛大英博物馆里的中国馆吧-哔哩哔哩】,0008,0035,,
680,https://b23.tv/iZdsewf,【⚜4K超清⚜ «秋天» 3小时🍁令人惊叹的风景和美妙的放松音乐-哔哩哔哩】,0127,0157,0448,0509
681,https://b23.tv/sVBh9Et,【⚜4K超清⚜ «大自然圣诞冬季景观» 3小时❄️风吹雪飘落和美丽的放松音乐，放松电影-哔哩哔哩】,0135,0200,0317,0337
682,https://b23.tv/7xc3uBC,【80㎡爱尔兰小屋-哔哩哔哩】,0005,0032,0044,0110
683,https://b23.tv/o5LF6gj,【⚜4K超清⚜ «马尔代夫» 风景如画的美丽海滩，放松电影与安静的音乐-哔哩哔哩】,0048,0114,0130,0152
684,https://b23.tv/JtS9Aa5,【4K风光美景治愈系-哔哩哔哩】,0032,0119,2651,2713
685,https://b23.tv/HdNSfzg,【远离闹市喧嚣独享这份奢华，一镜到底看豪宅-哔哩哔哩】,0011,0454,,
686,https://b23.tv/Y1k4Vrp,【风景视频素材分享（无水印可自取）-哔哩哔哩】,0102,0129,,
687,https://b23.tv/IYX96Yn,【【4K高清】阿拉斯加——荒野壮阔的极地边疆-哔哩哔哩】,0130,0151,2023,2047
688,https://b23.tv/Q4oVHBJ,【room tour 一镜到底｜自己设计的50平日系小木屋，听说你们都想让我搬出去-哔哩哔哩】,0004,0121,0204,0317
689,https://b23.tv/pWgVbuz,【英国郊区的普通住宅内部-哔哩哔哩】,0022,0130,0204,0246
690,https://b23.tv/ICg5kz6,【31岁，买了人生第一套房-哔哩哔哩】,0027,0237,0242,0314
691,https://b23.tv/Ex4UwaQ,【【4K】航拍冬日箭扣长城-哔哩哔哩】,0030,0059,0139,0212
692,https://b23.tv/3HBuE9C,【像油画一般的瑞士小村庄-哔哩哔哩】,0217,0237,0612,0636
693,https://b23.tv/Uzgcq1k,【【4K】房屋参观 | 韩国73坪独立屋-哔哩哔哩】,0031,0106,0116,0307
694,https://b23.tv/SZp2PlX,【一镜到底看我家-童话里的阁楼-哔哩哔哩】,0005,0025,0039,0100
695,https://b23.tv/5yMkSkN,【一镜到底，雪天Roomtour！来我家赏雪吧！一人三喵，快乐独居， 85平，一楼带院子（不是别墅）杭州初雪！-哔哩哔哩】,0037,0110,,
696,https://b23.tv/wRJbf9W,【Room tour｜我50平米的小屋的一镜到底-哔哩哔哩】,0009,0032,,
697,https://b23.tv/f6JMvMn,【从小，我就住在破破烂烂的房子里 | 拍了很久的家，这次想讲一讲我自己的故事。-哔哩哔哩】,0005,0043,0140,0219
698,https://b23.tv/jXFuQjm,【【Roomtour】入住五年的小家，全屋一镜到底-哔哩哔哩】 https://b23.tv/jXFuQjm,0010,0108,,
699,https://b23.tv/a3zQqC5,【小县城大平层的快乐谁懂啊～-哔哩哔哩】,0006,0043,,
700,https://b23.tv/yEpxQEi,【一镜到底看我家｜70平小户型自装日系原木风-哔哩哔哩】,0005,0050,,
701,https://b23.tv/G4tKflc,【一镜到底看我家-三年花费60w改造的童话小院-哔哩哔哩】,0750,0815,,
702,https://b23.tv/9HimipV,【🎥一镜到底 | 我的原木能量场小家🏠-哔哩哔哩】,0158,0218,,
703,https://b23.tv/9fqocw6,【89平原木风小家在阳光加持下，已经无敌了-哔哩哔哩】,0132,0155,,
704,https://b23.tv/1qcYIl6,【80m²小家一镜到底 ～-哔哩哔哩】,0006,0050,,
705,https://b23.tv/aqlTyEI,【45平，一个人住刚刚好呀-哔哩哔哩】,0040,0105,,
706,https://b23.tv/LZcNLdj,【一镜到底看我家-破败老宅改造田园小院-哔哩哔哩】,0346,0415,,
707,https://b23.tv/UGW4U6R,【36平小户型一镜到底|欢迎参观我的小家-哔哩哔哩】,0015,0050,0214,0240
708,https://b23.tv/i82vWEo,【一镜到底🏠欢迎参观我宋式美学的家-哔哩哔哩】,0001,0025,,
709,【roomtour | 143平中古小家一镜到底】https://www.bilibili.com/video/BV1emfaYTEBL?vd_source=75e3b86953dd8b94778efbd35e4a934a,roomtour | 143平中古小家一镜到底,0010,0030,0045,0110
710,【room tour一镜到底，实景拍摄125㎡三居室家装毕业照】https://www.bilibili.com/video/BV1cK411D73S?vd_source=75e3b86953dd8b94778efbd35e4a934a,room tour一镜到底，实景拍摄125㎡三居室家装毕业照,0020,0040,0045,0105
711,【一镜到底，来看我根据梦想改造的童话城堡】https://www.bilibili.com/video/BV14WgZzEE3i?vd_source=75e3b86953dd8b94778efbd35e4a934a,一镜到底，来看我根据梦想改造的童话城堡,0006,0040,,
712,【一镜到底看我家| 一起住进森林里的温馨小院】https://www.bilibili.com/video/BV1bg4y1U7LS?vd_source=75e3b86953dd8b94778efbd35e4a934a,一镜到底看我家| 一起住进森林里的温馨小院,0015,0100,,
713,【【roomtour】人生一宅的舒适之道：简装修，多收纳。109平10万元简单原木风硬装+六年旧家具。】https://www.bilibili.com/video/BV1PS4y1g7SZ?vd_source=75e3b86953dd8b94778efbd35e4a934a,【roomtour】人生一宅的舒适之道：简装修，多收纳。109平10万元简单原木风硬装+六年旧家具。,0014,0133,,
714,【三层楼一镜到底看遍我家】https://www.bilibili.com/video/BV1TT2sYuEUa?vd_source=75e3b86953dd8b94778efbd35e4a934a,三层楼一镜到底看遍我家,0011,0046,,
715,【逃离一线城市，回到小县城安家，拥有了我温馨的原木小家，闪闪发光的小家!】https://www.bilibili.com/video/BV1Xy4y1P7c6?vd_source=75e3b86953dd8b94778efbd35e4a934a,逃离一线城市，回到小县城安家，拥有了我温馨的原木小家，闪闪发光的小家!,0033,0130,,
716,【无滤镜原木风的家！相机实拍两人两猫住温馨又舒适】https://www.bilibili.com/video/BV15u411m7BB?vd_source=75e3b86953dd8b94778efbd35e4a934a,无滤镜原木风的家！相机实拍两人两猫住温馨又舒适,0040,0130,,
717,【一镜到底，130平复式住2年啦！】https://www.bilibili.com/video/BV1Tw411D7qZ?vd_source=75e3b86953dd8b94778efbd35e4a934a,一镜到底，130平复式住2年啦,0016,0040,,
718,【30岁前 拥有了自己的理想小家】https://www.bilibili.com/video/BV13K4y1A7VU?vd_source=75e3b86953dd8b94778efbd35e4a934a,30岁前 拥有了自己的理想小家,0025,0110,,
719,【原木风小家 | 最真实的样子无滤镜无美颜】https://www.bilibili.com/video/BV1FL411u7EC?vd_source=75e3b86953dd8b94778efbd35e4a934a,原木风小家 | 最真实的样子无滤镜无美颜,0040,0105,,
720,【roomtour | 你们要的一镜到底来了！】https://www.bilibili.com/video/BV1sK411k7yc?vd_source=75e3b86953dd8b94778efbd35e4a934a,roomtour | 你们要的一镜到底来了,0005,0040,,
721,【美式豪宅一镜到底，这套不得几百个？】https://www.bilibili.com/video/BV1oHXNYmEXz?vd_source=75e3b86953dd8b94778efbd35e4a934a,美式豪宅一镜到底，这套不得几百个？,0030,0116,,
722,https://b23.tv/Cq3a7W0,【【4k60帧】第一视角探索周浦中学废弃物堆放场-哔哩哔哩】,0012,0040,0200,0250
723,https://b23.tv/IL3i6zT,【【4K超高清视频】 最佳超高清水果视频 ｜ 特别版 4K-哔哩哔哩】,0037,0057,0127,0155
724,https://b23.tv/WJLBXhf,【4K【MEDCARS】林肯！2025款航海家！沉浸式静态体验！-哔哩哔哩】,0429,0534,0546,0650
725,https://b23.tv/uHauBa1,【【4K超清】秋季漫步游瑞士维德斯维尔(Wilderswil)｜在风景如画的山谷中漫步 拍摄日期：2022.10.12-哔哩哔哩】,0054,0119,0335,0406
726,https://b23.tv/XHsFZWB,【【4K】日本名古屋——宁静街道上的落日 是穷极一生都在追求的光-哔哩哔哩】,0137,0214,0215,0242
727,https://b23.tv/ZmOwiUH,【8K 60fps 静物-哔哩哔哩】,0503,0533,0610,0626
728,https://b23.tv/Jdl6DVO,【【4K】室内设计 | 17坪 | Design House 2021年12月19日-哔哩哔哩】,,0051,0229,0248
